,web-scraper-order,web-scraper-start-url,name,address,description,review_cat,price,no_reviews,Latitude,Longitude,total_distance,distance_score,no_reviews_num
0,1732027449-1,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Zurich Youth Hostel,"Mutschellenstrasse 114A, Zurich, Switzerland","Offering 421 rooms, the 2-star Zurich Youth Hostel boasts a location within 5 minutes' walk of Lake promenade. Located within 25 minutes' walk of Sechselautenplatz, this hostel offers guests…",Excellent,61 CHF,(4093 reviews),47.35028791,8.527832697,12.959401893350542,3,4093
1,1732027449-2,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Saint Georges Hotel,"Weberstrasse 11, Zurich, Switzerland","Located 15 km from Kloten airport, the 2-star Saint Georges Hotel Zurich features airport transfer service and car rentals for guests to take advantage of. The smoke-free hotel…",Excellent,114 CHF,(1894 reviews),47.37072945,8.528125829,11.8332641213504,4,1894
2,1732027449-3,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Ibis Zuerich City West,"Schiffbaustrasse 11, Zurich, Switzerland","A 10-minute drive from Old Town, the 3-star Ibis Zurich City West hotel offers a lift, a snack and drink vending machine. This Zurich hotel also includes a…",Good,143 CHF,(2135 reviews),47.3890558,8.5171575,13.561509725350518,2,2135
3,1732027449-4,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Hotel Seehof,"Seehofstrasse 11, Zurich, Switzerland","Featuring a currency exchange and a lift, the 3-star Hotel Seehof Zurich is located about 5 minutes' walk from Sechselautenplatz. This Zurich hotel is in Seefeld with a terrace…",Good,213 CHF,(949 reviews),47.36435985,8.547783378,11.303831001350432,4,949
4,1732027449-5,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Inside Five,"Motorenstrasse 11, Zurich, Switzerland","Located about a 5-minute walk from Markthalle, the comfortable 3-star Inside Five Aparthotel Zurich features a picnic area, barbecue grills, and a satellite flat-screen. Featuring a mini…",Good,112 CHF,(1977 reviews),47.3849765,8.529051288,12.334080637350464,3,1977
5,1732027449-6,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Swiss Star District 11 - Self Check-In,"Friesstrasse 33, Zurich, Switzerland","Situated just 13 minutes' walk from Messe Zurich, Swiss Star District 11 - Self Check-In Apartment provides guests with Wi-Fi for either business or leisure. There is Ottikerstrasse at…",Average,132 CHF,(296 reviews),47.4156855,8.54611803,14.036149225350629,1,296
6,1732027449-7,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=11,Cozy Urban Studio In The City Be-11,"Bertastrasse 15, Zurich, Switzerland","12 m² Cozy Urban Studio In The City Be-11 is situated in the Wiedikon district, about a 25-minute walk from Circus Conelli, which is higly recommended for a…",Good,150 CHF,(5 reviews),47.37500035,8.515815823,12.86627974735039,3,5
7,1732027452-8,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Hotel Adler Zuerich,"Rosengasse 10, Zurich, Switzerland","Offering a restaurant and a storage room, the charming Hotel Adler Zurich lies in the Old Town district, just 600 metres from the compact Zurich Toy Museum and at a…",Excellent,207 CHF,(2166 reviews),47.37310225,8.543490983,10.946821457350463,5,2166
8,1732027452-9,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Sheraton Zuerich Hotel,"Pfingstweidstrasse 100, Zurich, Switzerland","The 4-star Sheraton Zurich Hotel is located in the heart of Zurich and features Wi-Fi in public areas, along with public parking on site. There is a train…",Good,283 CHF,(1013 reviews),47.3907286,8.5101238,14.309800325350572,1,1013
9,1732027452-10,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Boutique Hotel Wellenberg,"Niederdorfstrasse 10, Zurich, Switzerland","Boutique Hotel Wellenberg Zurich is located in the Old Town district, approximately a 5-minute walk from Limmat. The hotel features a safe deposit box and 24-hour security service…",Excellent,263 CHF,(3228 reviews),47.3729812,8.543859,10.946637725350378,5,3228
10,1732027452-11,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Sorell Hotel St. Peter,"In Gassen 10, Zurich, Switzerland","Located within 5 minutes' walk of the Romanesque-style Protestant church ""Grossmunster"", the 4-star Sorell Hotel St. Peter Zurich offers fitness classes, a terrace, and a shared lounge. This…",Excellent,268 CHF,(1446 reviews),47.37085145,8.540517702,10.984198041350371,5,1446
13,1732027452-14,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Leonardo Boutique Hotel Rigihof Zurich,"Universitatstrasse 101, Zurich, Switzerland","Located within 25 minutes' walk of Limmat River, the 4-star Leonardo Boutique Hotel Rigihof Zurich offers general facilities such as a bureau de change and a cash machine. This…",Good,137 CHF,(3983 reviews),47.3839381,8.548026119,11.576264961350503,4,3983
14,1732027452-15,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Hotel Hottingen,"Hottingerstrasse 31, Zurich, Switzerland","Offering a bureau de change and a vending machine, Hotel Hottingen Zurich is located only a 5-minute walk from Zurich Opera House. This 3-star hotel features Wi-Fi…",Excellent,140 CHF,(2469 reviews),47.3696756,8.553465,11.36200652535036,4,2469
15,1732027452-16,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Swiss Night By Fassbind,"Steinwiesstrasse 8-10, Zurich, Switzerland","The 3-star Swiss Night By Fassbind Hotel Zurich is located in Zürichberg with free wifi access and free private parking, within 5 minutes' drive of Limmat. Highlights at this…",Excellent,146 CHF,(2060 reviews),47.36911028,8.550444747,11.219211741350378,4,2060
17,1732027452-18,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=10,Gaestehaus Hunziker,"Hagenholzstrasse 104B, Zurich, Ch, Zurich, Switzerland","Located 4.4 km from Lindenhof hill, which offers the thrill of discovering something beautiful, the 2-star Gastehaus Hunziker Hotel Zurich offers a restaurant and a barber shop. Private car…",Good,181 CHF,(708 reviews),47.4143829,8.5601597,14.63941292535037,1,708
19,1732027454-20,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=9,Hotel Seidenhof,"Sihlstrasse 9, Zurich, Switzerland",The Hotel Seidenhof is part of the Sorell Hotels. The 16 individually designed and locally anchored houses are run by our hosts with a lot of passion. Our modern boutique…,Excellent,237 CHF,(2096 reviews),47.3735835,8.537231983,11.183837213350465,4,2096
20,1732027454-21,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=9,Sorell Hotel Rex,"Weinbergstrasse 92, Zurich, Switzerland","Sorell Hotel Rex Zurich is located in the Unterstrass district, approximately a 5-minute walk from Sihl. This 3-star hotel provides a private parking garage for CHF 20 per…",Good,153 CHF,(2487 reviews),47.38476965,8.543062482,11.499804661350597,4,2487
21,1732027454-22,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=9,Sorell Hotel Rigiblick - Studios & Spa Suites,"Germaniastrasse 99, Zurich, Switzerland",The 4-star Sorell Hotel Rigiblick - Studios & Spa Suites is situated in the Oberstrass district of Zurich and overlooks Alps. The smoke-free hotel is within 25 minutes' walk of…,Good,253 CHF,(225 reviews),47.3882288,8.553505966,12.146912621350404,3,225
22,1732027454-23,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=9,Locke Am Platz Zurich,"Tessinerplatz 9, Zurich, Switzerland","Offering location approximately a 5-minute walk from Museum Rietberg, Locke Am Platz Zurich Hotel offers 81 rooms. This hotel entices guests with a private parking garage, available on site.",Excellent,232 CHF,(1066 reviews),47.36386065,8.532295501,11.79407545135042,4,1066
23,1732027454-24,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=9,Numa I Craft Apartments,"9 Baeckerstrasse, Zurich, Switzerland",Numa I Craft Apartments Zurich hotel has 18 rooms and is located a mere 0.9 km from the modern FIFA World Football Museum.,Excellent,225 CHF,(553 reviews),47.3740704,8.5299301,11.721017925350449,4,553
25,1732027456-26,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=8,Zurich Youth Hostel,"Mutschellenstrasse 114A, Zurich, Switzerland","Offering 421 rooms, the 2-star Zurich Youth Hostel boasts a location within 5 minutes' walk of Lake promenade. Located within 25 minutes' walk of Sechselautenplatz, this hostel offers guests…",Excellent,61 CHF,(4093 reviews),47.35028791,8.527832697,12.959401893350542,3,4093
27,1732027456-28,https://www.hotels-zurich.com/search/?sort=Rating&order=DESC&part=1&Name=8,Swiss Night By Fassbind,"Steinwiesstrasse 8-10, Zurich, Switzerland","The 3-star Swiss Night By Fassbind Hotel Zurich is located in Zürichberg with free wifi access and free private parking, within 5 minutes' drive of Limmat. Highlights at this…",Excellent,146 CHF,(2060 reviews),47.36911028,8.550444747,11.219211741350378,4,2060
